location,year,do,bod,fecal_coliform,do_good,bod_good,fecal_good,water_quality_score,year_index,station_id,do_lag1,bod_lag1,fecal_coliform_lag1,do_lag2,bod_lag2,fecal_coliform_lag2,do_change,bod_change,fecal_coliform_change
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2012,7.1,5.1,3450.0,1,0,0,1,1,0,7.2,4.0,3408.0,,,,0.0,0.0,0.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2013,8.2,3.6,6475.0,1,0,0,1,2,0,7.1,5.1,3450.0,7.2,4.0,3408.0,-0.10000000000000053,1.0999999999999996,42.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2014,8.6,3.8,26000.0,1,0,0,1,3,0,8.2,3.6,6475.0,7.1,5.1,3450.0,1.0999999999999996,-1.4999999999999996,3025.0
"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2015,7.9,4.1,21300.0,1,0,0,1,4,0,8.6,3.8,26000.0,8.2,3.6,6475.0,0.40000000000000036,0.19999999999999973,19525.0
GANGA AT DAKSHINESHWAR,2012,6.1,4.1,493750.0,1,0,0,1,1,1,7.8,4.0,270333.0,,,,0.0,0.0,0.0
GANGA AT DAKSHINESHWAR,2013,5.9,4.1,443333.0,1,0,0,1,2,1,6.1,4.1,493750.0,7.8,4.0,270333.0,-1.7000000000000002,0.09999999999999964,223417.0
GANGA AT DAKSHINESHWAR,2014,6.7,4.4,592500.0,1,0,0,1,3,1,5.9,4.1,443333.0,6.1,4.1,493750.0,-0.1999999999999993,0.0,-50417.0
GANGA AT DAKSHINESHWAR,2015,6.6,4.8,182500.0,1,0,0,1,4,1,6.7,4.4,592500.0,5.9,4.1,443333.0,0.7999999999999998,0.3000000000000007,149167.0
GANGA AT GARHMUKTESHWAR,2012,8.6,3.4,920.0,1,0,1,2,1,2,8.2,3.4,1162.0,,,,0.0,0.0,0.0
GANGA AT GARHMUKTESHWAR,2013,9.0,2.9,767.0,1,1,1,3,2,2,8.6,3.4,920.0,8.2,3.4,1162.0,0.40000000000000036,0.0,-242.0
GANGA AT GARHMUKTESHWAR,2014,9.1,2.8,725.0,1,1,1,3,3,2,9.0,2.9,767.0,8.6,3.4,920.0,0.40000000000000036,-0.5,-153.0
GANGA AT GARHMUKTESHWAR,2015,7.7,3.0,733.0,1,1,1,3,4,2,9.1,2.8,725.0,9.0,2.9,767.0,0.09999999999999964,-0.10000000000000009,-42.0
GANGA AT HARIDWAR D/S,2012,7.2,5.3,1007.5,1,0,1,2,1,3,6.7,5.6,1150.0,,,,0.0,0.0,0.0
GANGA AT HARIDWAR D/S,2013,6.5,5.2,865.0,1,0,1,2,2,3,7.2,5.3,1007.5,6.7,5.6,1150.0,0.5,-0.2999999999999998,-142.5
GANGA AT HARIDWAR D/S,2014,5.0,5.2,722.5,1,0,1,2,3,3,6.5,5.2,865.0,7.2,5.3,1007.5,-0.7000000000000002,-0.09999999999999964,-142.5
GANGA AT HARIDWAR D/S,2015,9.2,2.8,580.0,1,1,1,3,4,3,5.0,5.2,722.5,6.5,5.2,865.0,-1.5,0.0,-142.5
"GANGA AT KANNAUJ D/S, U.P",2012,8.3,4.8,6045.0,1,0,0,1,1,4,7.8,5.5,3508.0,,,,0.0,0.0,0.0
