Sr. No.,LOCATION - Water Quality Criteria,DO (mg/l) - 2011 - >5 mg/l,DO (mg/l) - 2012 - >5 mg/l,DO (mg/l) - 2013 - >5 mg/l,DO (mg/l) - 2014 - >5 mg/l,DO (mg/l) - 2015 - >5 mg/l,B.O.D (mg/l) - 2011 - < 3 mg/l,B.O.D (mg/l) - 2012 - < 3 mg/l,B.O.D (mg/l) - 2013 - < 3 mg/l,B.O.D (mg/l) - 2014 - < 3 mg/l,B.O.D (mg/l) - 2015 - < 3 mg/l,FECAL COLIFORM (MPN/100ml) - 2011 - < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) - 2012 - < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) - 2013 - < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) - 2014 - < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) - 2015 - < 2500 MPN/100ml
1,GANGA AT HARIDWAR D/S,6.7,7.2,6.5,5,9.2,5.6,5.3,5.2,5.2,2.8,1150,NA,NA,NA,580
2,GANGA AT GARHMUKTESHWAR,8.2,8.6,9,9.1,7.7,3.4,3.4,2.9,2.8,3,1162,920,767,725,733
3,GANGA AT KANNAUJ U/S (RAJGHAT),7.9,8.6,8.2,7.8,8.4,4.5,4,4,2.8,3.5,3042,4673,1210,3500,2270
4,"GANGA AT KANNAUJ D/S, U.P",7.8,8.3,7.9,5.8,7.9,5.5,4.8,4.3,3,3.7,3508,6045,1517,4000,2930
5,GANGA AT KANPUR U/S (RANIGHAT),8.6,8.7,8.3,7.8,8.2,4.3,4.3,3.4,3.5,2.9,6667,6245,1358,4200,3267
6,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),6.9,6.6,6.7,7.3,6.5,8.4,8.3,6.8,7.7,5.5,38942,23927,13567,40000,20889
7,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",7.2,7.1,8.2,8.6,7.9,4,5.1,3.6,3.8,4.1,3408,3450,6475,26000,21300
8,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",7.1,7.4,7.9,7.7,7.3,8,5,4.6,4.4,4.9,40000,31667,34500,34000,32500
9,GANGA AT TRIGHAT (GHAZIPUR),7.3,7.6,7.9,7.7,7.5,4.3,3.7,3.7,3.9,4.2,13000,14167,15167,14000,22000
10,GANGA AT DAKSHINESHWAR,7.8,6.1,5.9,6.7,6.6,4,4.1,4.1,4.4,4.8,270333,493750,443333,592500,182500
